Question,Answer
Q304: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q305: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q306: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q307: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q308: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q309: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q310: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q311: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q312: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q313: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q314: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q315: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q316: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q317: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q318: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q319: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q320: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q321: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q322: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q323: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q324: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q325: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q326: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q327: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q328: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q329: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q330: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q331: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q332: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q333: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q334: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q335: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q336: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q337: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q338: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q339: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q340: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q341: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q342: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q343: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q344: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q345: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q346: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q347: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q348: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q349: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q350: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q351: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q352: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q353: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q354: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q355: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q356: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q357: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q358: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q359: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q360: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q361: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q362: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q363: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q364: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q365: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q366: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q367: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q368: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q369: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q370: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q371: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q372: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q373: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q374: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q375: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q376: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q377: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q378: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q379: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q380: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q381: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q382: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q383: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q384: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q385: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q386: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q387: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q388: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q389: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q390: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q391: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q392: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q393: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q394: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q395: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q396: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q397: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q398: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q399: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q400: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q401: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q402: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q403: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q404: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q405: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q406: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q407: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q408: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q409: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q410: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q411: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q412: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q413: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q414: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q415: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q416: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q417: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q418: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q419: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q420: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q421: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q422: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q423: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q424: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q425: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q426: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q427: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q428: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q429: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q430: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q431: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q432: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q433: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q434: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q435: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q436: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q437: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q438: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q439: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q440: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q441: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q442: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q443: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q444: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q445: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q446: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q447: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q448: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q449: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q450: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q451: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q452: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q453: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q454: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q455: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q456: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q457: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q458: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q459: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q460: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q461: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q462: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q463: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q464: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q465: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q466: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q467: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q468: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q469: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q470: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q471: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q472: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q473: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q474: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q475: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q476: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q477: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q478: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q479: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q480: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q481: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q482: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q483: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q484: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q485: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q486: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q487: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q488: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q489: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q490: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q491: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q492: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q493: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q494: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q495: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q496: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q497: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q498: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q499: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q500: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q501: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q502: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q503: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q504: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q505: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q506: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q507: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q508: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q509: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q510: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q511: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q512: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q513: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q514: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q515: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q516: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q517: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q518: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q519: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q520: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q521: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q522: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q523: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q524: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q525: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q526: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q527: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q528: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q529: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q530: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q531: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q532: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q533: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q534: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q535: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q536: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q537: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q538: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q539: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q540: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q541: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q542: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q543: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q544: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q545: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q546: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q547: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q548: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q549: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q550: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q551: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q552: What is the minimum balance requirement for a savings account?,The minimum balance required is $500.
Q553: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q554: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q555: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q556: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q557: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q558: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q559: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q560: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q561: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q562: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q563: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q564: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q565: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q566: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q567: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q568: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q569: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q570: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q571: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q572: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q573: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q574: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q575: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q576: What are the interest rates on fixed deposits?,"Our fixed deposit interest rates range from 3% to 6%, depending on the tenure."
Q577: What are the working hours of the bank?,"Our bank operates from 9 AM to 5 PM, Monday to Friday."
Q578: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q579: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q580: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q581: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
Q582: How can I reset my internet banking password?,You can reset your password using the 'Forgot Password' option on the login page.
Q583: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q584: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q585: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q586: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q587: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q588: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q589: What is a bank overdraft?,"A bank overdraft allows you to withdraw more money than you have in your account, up to a set limit."
Q590: How long does it take for a loan application to be processed?,Loan applications are typically processed within 5-7 working days.
Q591: Is there a charge for international transactions on my debit card?,"Yes, international transactions may have a foreign exchange markup fee of up to 3.5%."
Q592: How can I check my account balance?,"You can check your balance via internet banking, mobile banking, or by visiting an ATM."
Q593: What are the charges for early loan repayment?,Early loan repayment charges depend on the type of loan and its terms; please refer to the loan agreement.
Q594: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q595: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q596: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q597: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q598: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q599: What is the procedure to block a lost debit card?,"You can block your card immediately via internet banking, mobile banking, or by calling customer service."
Q600: How can I open a savings account?,You can open a savings account online or visit our nearest branch with valid ID proof.
Q601: Can I transfer money internationally using online banking?,"Yes, you can transfer money internationally using SWIFT or wire transfer options in online banking."
Q602: How do I update my registered mobile number?,You can update your mobile number via internet banking or by visiting a branch.
Q603: How do I apply for a credit card?,You can apply online through our website or visit a branch with necessary documents.
Q604: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q605: How can I enable UPI transactions on my account?,You need to register your mobile number with UPI-enabled apps and link your bank account.
Q606: What should I do if an ATM dispenses the wrong amount?,Please report the issue to our customer support with transaction details immediately.
Q607: How do I get a new checkbook?,"You can request a new checkbook via internet banking, mobile banking, or at a branch."
Q608: What documents are required for a home loan?,"You need identity proof, address proof, income proof, and property documents for a home loan application."
Q609: How can I dispute an unauthorized transaction?,Report unauthorized transactions immediately via internet banking or by calling customer service.
Q610: What is the maximum withdrawal limit for ATMs?,"The maximum daily withdrawal limit varies but is generally $1,000 per day."
